r_ID,r_birth_yr,r_gender,r_race,r_edu_yrs,r_edu_high_deg,r_edu_sum,r_child_born,r_age_ss_payments,r1_labor_status,r2_labor_status,r3_labor_status,r4_labor_status,r5_labor_status,r6_labor_status,r7_labor_status,r8_labor_status,r9_labor_status,r10_labor_status,r11_labor_status,r12_labor_status,r13_labor_status,r14_labor_status,r15_labor_status,r16_labor_status
201011010,1910.0,2.0,1.0,15.0,3.0,4.0,4.0,,,,7.0,,,,,,,,,,,,,
201012010,1923.0,1.0,1.0,17.0,7.0,5.0,5.0,,,1.0,5.0,4.0,5.0,5.0,5.0,,5.0,5.0,,,,,,
201012011,1929.0,2.0,1.0,12.0,2.0,3.0,2.0,,,,,5.0,,,,,,,,,,,,
201014010,1918.0,1.0,1.0,16.0,5.0,5.0,5.0,,,5.0,5.0,5.0,5.0,,,,,,,,,,,
201014020,1926.0,2.0,1.0,14.0,3.0,4.0,6.0,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,
201015010,1911.0,2.0,1.0,13.0,3.0,4.0,3.0,,,5.0,5.0,5.0,5.0,7.0,7.0,5.0,,,,,,,,
201016020,1917.0,2.0,1.0,12.0,2.0,3.0,1.0,,,5.0,5.0,5.0,,,,,,,,,,,,
201017010,1922.0,2.0,2.0,14.0,3.0,4.0,0.0,,,5.0,5.0,7.0,5.0,5.0,,,,7.0,,,,,,
201018010,1914.0,1.0,2.0,11.0,0.0,1.0,1.0,,,5.0,5.0,5.0,,,,,,,,,,,,
201019010,1907.0,2.0,2.0,6.0,0.0,1.0,2.0,,,5.0,5.0,5.0,,,,,,,,,,,,
201020010,1919.0,2.0,2.0,8.0,0.0,1.0,3.0,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,
201022010,1920.0,1.0,2.0,11.0,0.0,1.0,3.0,,,,5.0,,,,,,,,,,,,,
201022020,1921.0,2.0,2.0,12.0,2.0,3.0,3.0,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,
201023010,1913.0,2.0,2.0,10.0,0.0,1.0,2.0,625.0,,5.0,,5.0,,,,,,,,,,,,
201025010,1921.0,1.0,2.0,17.0,6.0,5.0,2.0,769.0,,2.0,4.0,4.0,5.0,,,,,,,,,,,
201025020,1930.0,2.0,2.0,14.0,4.0,4.0,2.0,757.0,,2.0,3.0,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,
201026010,1918.0,2.0,2.0,14.0,3.0,4.0,6.0,,,5.0,5.0,5.0,,,,,,,,,,,,
201027010,1917.0,2.0,2.0,9.0,0.0,1.0,1.0,,,5.0,5.0,,5.0,,,,,,,,,,,
201028010,1914.0,1.0,2.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,
201029010,1907.0,2.0,2.0,8.0,0.0,1.0,5.0,,,,5.0,5.0,,,,,,,,,,,,
201030010,1922.0,2.0,2.0,0.0,0.0,1.0,0.0,613.0,,,7.0,,7.0,7.0,,,,,,,,,,
201031010,1910.0,2.0,2.0,9.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,
201032010,1917.0,2.0,2.0,12.0,2.0,3.0,7.0,,,,,,,,,,,,,,,,,
201033010,1919.0,1.0,2.0,12.0,2.0,3.0,3.0,,,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,
